official,games_worked,avg_fouls_per_game,min_fouls,max_fouls,std_fouls,avg_home_fouls,avg_visitor_fouls,home_visitor_diff,avg_technicals,z_score,percentile
Angie Enlund,7,39.142857142857146,24,48,9.564318610135825,19.571428571428573,19.571428571428573,0.0,0.2857142857142857,1.8326427703419188,100.0
Brad Maxey,7,38.714285714285715,32,46,6.156684327197709,18.714285714285715,20.0,-1.2857142857142847,0.0,1.6980765270207814,97.22222222222221
Tim Daley,14,37.42857142857143,27,46,5.529143565818179,18.0,19.428571428571427,-1.428571428571427,0.0,1.2943777970573713,94.44444444444444
Lisa Jones,14,37.07142857142857,30,44,4.843144015620839,18.142857142857142,18.928571428571427,-0.7857142857142847,0.2857142857142857,1.182239260956423,91.66666666666666
Kelsey Reynolds,6,36.833333333333336,32,46,4.875106836436168,17.833333333333332,19.0,-1.1666666666666679,0.0,1.1074802368891261,88.88888888888889
Brian Hall,10,36.7,26,45,6.3604681868204915,17.9,18.8,-0.9000000000000021,0.0,1.0656151834114391,86.11111111111111
Julie Krommenhoek,15,35.93333333333333,28,46,5.861090423494671,16.6,19.333333333333332,-2.7333333333333307,0.13333333333333333,0.8248911259147371,83.33333333333334
Ken Nash,6,35.833333333333336,28,43,5.269408568963567,18.0,17.833333333333332,0.16666666666666785,0.16666666666666666,0.7934923358064736,80.55555555555556
Jesse Dickerson,11,35.54545454545455,27,48,6.547726878293509,16.363636363636363,19.181818181818183,-2.81818181818182,0.2727272727272727,0.7031018794341946,77.77777777777779
Mark Berger,8,35.375,27,49,7.46300399111702,17.0,18.375,-1.375,0.0,0.6495812144769239,75.0
Natasha Camy,10,34.9,27,49,7.370361064576295,17.1,17.8,-0.6999999999999993,0.0,0.5004369614626635,72.22222222222221
Nykesha Thompson,18,34.72222222222222,25,48,6.710882781901223,16.944444444444443,17.77777777777778,-0.8333333333333357,0.1111111111111111,0.44461689015908107,69.44444444444444
Mark Resch,7,34.714285714285715,24,44,7.296444013222827,18.285714285714285,16.428571428571427,1.8571428571428577,0.0,0.4421249226901717,66.66666666666666
Kevin Pethtel,19,34.63157894736842,23,45,6.643380383808879,17.57894736842105,17.05263157894737,0.5263157894736814,0.10526315789473684,0.41615599854047725,63.888888888888886
Felicia Grinter,12,34.583333333333336,23,48,6.734690832255079,16.0,18.583333333333332,-2.583333333333332,0.16666666666666666,0.4010074594531581,61.111111111111114
Michael Mcconnell,17,34.35294117647059,19,45,7.532771539003657,16.705882352941178,17.647058823529413,-0.9411764705882355,0.17647058823529413,0.32866710969391844,58.333333333333336
Angelica Suffren,8,34.25,18,46,10.91198554670178,17.125,17.125,0.0,0.0,0.2963448257589399,55.55555555555556
Michol Murray,10,34.2,24,46,6.713171133426189,16.8,17.4,-0.5999999999999979,0.0,0.28064543070480813,52.77777777777778
Bruce Morris,6,34.166666666666664,30,39,3.7638632635454052,15.833333333333334,18.333333333333332,-2.4999999999999982,0.0,0.2701791673353848,50.0
Melissa Barlow,8,34.125,19,45,7.414994461032514,17.125,17.0,0.125,0.0,0.2570963381236083,47.22222222222222
Doug Knight,5,32.8,24,43,7.085195833567341,16.4,16.4,0.0,0.2,-0.158937630810907,44.44444444444444
Tiara Cruse,7,32.714285714285715,19,42,9.013217807092827,15.714285714285714,17.0,-1.2857142857142865,0.0,-0.18585087947513315,41.66666666666667
Frank Steratore,7,32.57142857142857,26,40,5.883795341363228,15.0,17.571428571428573,-2.571428571428573,0.0,-0.23070629391551303,38.88888888888889
Gina Cross,17,32.35294117647059,17,48,9.393755748305548,16.058823529411764,16.294117647058822,-0.235294117647058,0.17647058823529413,-0.2993086924713864,36.11111111111111
In'Fini Robinson,6,32.0,24,43,7.4565407529228995,15.5,16.5,-1.0,0.5,-0.41012795167702804,33.33333333333333
Roy Gulbeyan,6,31.333333333333332,23,46,8.524474568362947,14.166666666666666,17.166666666666668,-3.0000000000000018,0.0,-0.6194532190654634,30.555555555555557
Kalei Enterline,5,31.2,19,38,7.5630681604756145,15.2,16.0,-0.8000000000000007,0.2,-0.6613182725431502,27.77777777777778
Brian Garland,5,30.8,19,44,9.121403400793104,13.6,17.2,-3.5999999999999996,0.0,-0.7869134329762107,25.0
Chuck Gonzalez,7,30.571428571428573,19,41,6.924765768773767,14.571428571428571,16.0,-1.4285714285714288,0.0,-0.8586820960808167,22.22222222222222
Maggie Tieman,11,30.363636363636363,19,40,6.697353615760889,13.454545454545455,16.90909090909091,-3.454545454545455,0.2727272727272727,-0.923926335266823,19.444444444444446
Jamie Broderick,8,29.75,23,37,4.334248987508019,13.625,16.125,-2.5,0.0,-1.116600729112996,16.666666666666664
Ify Seales,6,28.666666666666668,20,35,5.163977794943222,14.166666666666666,14.5,-0.3333333333333339,0.16666666666666666,-1.4567542886192024,13.88888888888889
Nicole Leon,8,28.625,17,33,5.370222128951997,13.625,15.0,-1.375,0.0,-1.46983711783098,11.11111111111111
Brenda Pantoja,11,28.272727272727273,18,35,5.06144068602822,14.181818181818182,14.090909090909092,0.09090909090908994,0.09090909090909091,-1.580446492076005,8.333333333333332
Maj Forsberg,9,27.77777777777778,17,38,7.27629331764769,13.666666666666666,14.11111111111111,-0.44444444444444464,0.1111111111111111,-1.7358546451371157,5.555555555555555
Cameron Inouye,7,26.0,22,33,4.509249752822894,12.571428571428571,13.428571428571429,-0.8571428571428577,0.0,-2.2940553581729426,2.7777777777777777
